"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.6136363636363638","0.0","0.38260869565217387","0.0","1","4","false","A4D161","21.0","0","1","0","0.9231601731601732","false","0","A4D161","0","0.0"
"1.6363636363636365","0.9365750528541227","0.611111111111111","0.0","21","3","false","Q49AR9","1.8571428571428572","0","21","0","0.9696969696969697","false","0","Q49AR9","1772","0.047619047619047616"
"2.7746031746031745","0.0","0.36041189931350115","0.0","1","5","false","A4D1B5","135.0","0","1","0","0.9868547912992357","false","0","A4D1B5","0","0.0"
"1.7777777777777777","0.9721160651096957","0.5625","0.0","135","4","false","P05067","1.9111111111111112","0","135","0","0.994238683127572","false","0","P05067","96152","0.007407407407407408"
"5.099415204678363","0.0","0.19610091743119265","0.0","1","9","false","A4D1E9","29.0","0","1","0","0.8948867896236317","false","0","A4D1E9","0","0.0"
"4.105263157894737","0.33037495700034397","0.24358974358974356","0.0","29","8","false","Q08379","1.206896551724138","0","29","0","0.9203778677462887","false","0","Q08379","9604","0.034482758620689655"
"2.14","0.02","0.4672897196261682","0.0","2","4","false","A4D1P6","43.5","0","2","0","0.9867441860465116","false","0","A4D1P6","198","0.5"
"1.17","0.9955555555555555","0.8547008547008548","0.0","86","3","false","P42858","1.127906976744186","0","86","0","0.9980232558139535","false","0","P42858","9856","0.011627906976744186"
"0.0","0.0","0.0","0.0","0","0","true","A4D1T9","0.0","0","0","0","Infinity","false","0","A4D1T9","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A4D256","0.0","0","0","0","Infinity","false","0","A4D256","0","0.0"
"2.0","0.0","0.5","0.0","1","3","false","A4D2B0","2.0","0","1","0","0.5","false","0","A4D2B0","0","0.0"
"1.3333333333333333","0.6666666666666666","0.75","0.0","2","2","false","Q75WM6","1.5","0","2","0","0.8333333333333334","false","0","Q75WM6","4","0.5"
"0.0","0.0","0.0","0.0","0","0","true","A4D2B8","0.0","0","0","0","Infinity","false","0","A4D2B8","0","0.0"
"2.8","0.0","0.35714285714285715","0.0","1","4","false","A4GXA9","2.0","0","1","0","0.4000000000000001","false","0","A4GXA9","0","0.0"
"2.0","0.4","0.5","0.0","3","3","false","Q96NY9","1.5","0","3","1","0.6666666666666666","false","0","Q96NY9","8","0.5"
"0.0","0.0","0.0","0.0","0","0","true","A4UGR9","0.0","0","0","0","Infinity","false","0","A4UGR9","0","0.0"
"1.5","0.0","0.6666666666666666","0.0","2","2","false","P00813","2.0","0","2","1","0.75","false","0","P00813","0","0.0"
"3.224376731301939","0.0","0.31013745704467355","0.0","1","8","false","A5D8T8","119.0","0","1","0","0.9813077585604879","false","0","A5D8T8","0","0.0"
"2.227146814404432","0.8698522622345337","0.4490049751243781","0.0","119","7","false","Q6UY14-3","2.0","0","119","0","0.9896878418957611","false","0","Q6UY14-3","113046","0.008403361344537815"
"2.6666666666666665","0.0","0.375","0.0","1","4","false","A5D8V6","12.0","0","1","0","0.880952380952381","false","0","A5D8V6","0","0.0"
"1.6944444444444444","0.8063492063492064","0.5901639344262295","0.0","13","3","false","Q4LEZ3","2.9166666666666665","0","13","1","0.9503968253968254","false","0","Q4LEZ3","1016","0.08333333333333333"
"2.142857142857143","0.0","0.4666666666666667","0.0","1","4","false","A5D8V7","24.0","0","1","0","0.9523809523809524","false","0","A5D8V7","0","0.0"
"1.1785714285714286","0.9735449735449735","0.8484848484848485","0.0","24","3","false","P22607","1.125","0","24","0","0.9925595238095238","false","0","P22607","736","0.041666666666666664"
"0.0","0.0","0.0","0.0","0","0","true","A5D8W1","0.0","0","0","0","Infinity","false","0","A5D8W1","0","0.0"
"2.9","0.0","0.3448275862068966","0.0","1","4","false","A5LHX3","4.0","0","1","0","0.62","false","0","A5LHX3","0","0.0"
"2.0","0.6444444444444445","0.5","0.0","5","3","false","Q9H1Y0","1.5","0","5","1","0.8","false","0","Q9H1Y0","58","0.25"
"1.0","0.0","1.0","0.0","1","1","false","A5PKW4","1.0","0","1","0","1.0","false","0","A5PKW4","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","P70398","1.0","0","1","0","1.0","false","0","P70398","0","0.0"
"1.875","0.0","0.5333333333333333","0.0","1","2","false","A5PLL7","8.0","0","1","0","0.890625","false","0","A5PLL7","0","0.0"
"1.0","1.0","1.0","0.0","8","1","false","P13473-2","1.0","0","8","0","1.0","false","0","P13473-2","56","0.0"
"1.6666666666666667","0.0","0.6","0.0","1","2","false","A5X5Y0","3.0","0","1","0","0.7777777777777777","false","0","A5X5Y0","0","0.0"
"1.0","1.0","1.0","0.0","4","1","false","P46098","1.0","0","4","1","1.0","false","0","P46098","6","0.0"
"1.4444444444444444","0.8333333333333333","0.6923076923076923","0.0","6","2","false","A5YKK6","1.8","0","6","1","0.9111111111111111","false","0","A5YKK6","60","0.2"
"2.3333333333333335","0.0","0.42857142857142855","0.0","2","3","false","Q3ZCQ2","5.0","0","2","1","0.7333333333333333","false","0","Q3ZCQ2","0","0.0"
"0.0","0.0","0.0","0.0","0","0","true","A5YM72","0.0","0","0","0","Infinity","false","0","A5YM72","0","0.0"
"4.21606648199446","0.0","0.2371879106438896","0.0","1","9","false","A6BM72","2.0","0","1","0","0.972974231243744","false","0","A6BM72","0","0.0"
"3.218836565096953","0.00554016620498615","0.310671256454389","0.0","2","8","false","Q7Z417","60.0","0","2","0","0.9813543145790172","false","0","Q7Z417","720","0.5"
"0.0","0.0","0.0","0.0","0","0","true","A6H8Y1","0.0","0","0","0","Infinity","false","0","A6H8Y1","0","0.0"
"2.991304347826087","0.0","0.33430232558139533","0.0","1","5","false","A6H8Z2","33.0","0","1","0","0.9446859903381642","false","0","A6H8Z2","0","0.0"
"2.0","0.6951945080091534","0.5","0.0","33","4","false","X5D778","2.6363636363636362","0","33","0","0.9722222222222222","false","0","X5D778","9114","0.030303030303030304"
"3.8935108153078204","0.013272323904603438","0.2568376068376068","0.0","4","8","false","A6NC98","16.5","0","4","0","0.964277644255459","false","0","A6NC98","4786","0.25"
